Transaction ID,Product Name
TX_1000,Bread
TX_1000,Milk
TX_1000,Bread
TX_1001,Cheese
TX_1001,Coffee
TX_1001,Coffee
TX_1002,Sugar
TX_1002,Milk
TX_1002,Coffee
TX_1003,Eggs
TX_1003,Bread
TX_1003,Soda
TX_1004,Bread
TX_1004,Eggs
TX_1004,Tea
TX_1005,Tea
TX_1005,Coffee
TX_1005,Bread
TX_1006,Coffee
TX_1006,Milk
TX_1006,Coffee
TX_1007,Sugar
TX_1007,Sugar
TX_1007,Milk
TX_1008,Sugar
TX_1008,Sugar
TX_1008,Eggs
TX_1009,Sugar
TX_1009,Bread
TX_1009,Sugar
TX_1010,Coffee
TX_1010,Cheese
TX_1010,Soda
TX_1011,Coffee
TX_1011,Sugar
TX_1011,Tea
TX_1012,Milk
TX_1012,Cheese
TX_1012,Cheese
TX_1013,Soda
TX_1013,Coffee
TX_1013,Coffee
TX_1014,Sugar
TX_1014,Coffee
TX_1014,Milk
TX_1015,Sugar
TX_1015,Cheese
TX_1015,Bread
TX_1016,Tea
TX_1016,Sugar
TX_1016,Bread
TX_1017,Bread
TX_1017,Eggs
TX_1017,Sugar
TX_1018,Coffee
TX_1018,Sugar
TX_1018,Coffee
TX_1019,Bread
TX_1019,Soda
TX_1019,Milk
TX_1020,Tea
TX_1020,Cookies
TX_1020,Cheese
TX_1021,Sugar
TX_1021,Eggs
TX_1021,Coffee
TX_1022,Soda
TX_1022,Soda
TX_1022,Sugar
TX_1023,Cookies
TX_1023,Coffee
TX_1023,Milk
TX_1024,Sugar
TX_1024,Coffee
TX_1024,Coffee
TX_1025,Bread
TX_1025,Bread
TX_1025,Coffee
TX_1026,Tea
TX_1026,Bread
TX_1026,Coffee
TX_1027,Coffee
TX_1027,Sugar
TX_1027,Sugar
TX_1028,Bread
TX_1028,Cookies
TX_1028,Coffee
TX_1029,Sugar
TX_1029,Coffee
TX_1029,Milk
TX_1030,Milk
TX_1030,Milk
TX_1030,Coffee
TX_1031,Sugar
TX_1031,Coffee
TX_1031,Eggs
TX_1032,Tea
TX_1032,Sugar
TX_1032,Bread
TX_1033,Bread
TX_1033,Butter
TX_1033,Coffee
TX_1034,Milk
TX_1034,Coffee
TX_1034,Soda
TX_1035,Coffee
TX_1035,Sugar
TX_1035,Sugar
TX_1036,Coffee
TX_1036,Cookies
TX_1036,Sugar
TX_1037,Coffee
TX_1037,Cheese
TX_1037,Sugar
TX_1038,Cookies
TX_1038,Coffee
TX_1038,Sugar
TX_1039,Coffee
TX_1039,Bread
TX_1039,Milk
TX_1040,Bread
TX_1040,Milk
TX_1040,Milk
TX_1041,Cookies
TX_1041,Soda
TX_1041,Cookies
TX_1042,Cheese
TX_1042,Bread
TX_1042,Butter
TX_1043,Tea
TX_1043,Cookies
TX_1043,Coffee
TX_1044,Milk
TX_1044,Coffee
TX_1044,Milk
TX_1045,Bread
TX_1045,Bread
TX_1045,Cheese
TX_1046,Coffee
TX_1046,Cookies
TX_1046,Eggs
TX_1047,Coffee
TX_1047,Milk
TX_1047,Sugar
TX_1048,Milk
TX_1048,Butter
TX_1048,Coffee
TX_1049,Bread
TX_1049,Coffee
TX_1049,Soda
TX_1050,Bread
TX_1050,Sugar
TX_1050,Bread
TX_1051,Coffee
TX_1051,Milk
TX_1051,Tea
TX_1052,Tea
TX_1052,Sugar
TX_1052,Sugar
TX_1053,Milk
TX_1053,Eggs
TX_1053,Cookies
TX_1054,Milk
TX_1054,Bread
TX_1054,Sugar
TX_1055,Soda
TX_1055,Soda
TX_1055,Coffee
TX_1056,Coffee
TX_1056,Coffee
TX_1056,Coffee
TX_1057,Cookies
TX_1057,Butter
TX_1057,Milk
TX_1058,Coffee
TX_1058,Sugar
TX_1058,Sugar
TX_1059,Coffee
TX_1059,Sugar
TX_1059,Coffee
TX_1060,Soda
TX_1060,Eggs
TX_1060,Coffee
TX_1061,Butter
TX_1061,Sugar
TX_1061,Cookies
TX_1062,Milk
TX_1062,Tea
TX_1062,Milk
TX_1063,Coffee
TX_1063,Milk
TX_1063,Soda
TX_1064,Sugar
TX_1064,Butter
TX_1064,Sugar
TX_1065,Coffee
TX_1065,Bread
TX_1065,Coffee
TX_1066,Sugar
TX_1066,Sugar
TX_1066,Sugar
TX_1067,Butter
TX_1067,Cookies
TX_1067,Eggs
TX_1068,Butter
TX_1068,Sugar
TX_1068,Coffee
TX_1069,Sugar
TX_1069,Tea
TX_1069,Bread
TX_1070,Coffee
TX_1070,Coffee
TX_1070,Sugar
